PID,Turnaround,Waiting,Response
118,1125,1115,134
118,1101,1092,135
118,334,331,130
118,702,696,122
119,135,134,134
119,136,135,135
119,378,375,137
119,130,129,129
119,347,343,125
120,333,330,132
120,1286,1272,137
120,141,140,140
120,330,327,128
120,1327,1312,127
121,136,135,135
121,1424,1384,139
121,387,383,140
121,131,129,129
121,716,711,128
122,137,136,136
122,696,690,140
122,144,142,142
122,132,131,131
122,713,707,125
123,138,136,136
123,380,377,144
123,954,947,144
123,895,887,132
123,715,709,127
124,140,138,138
124,704,699,142
124,1329,1313,145
124,676,671,133
124,134,133,133
125,138,137,137
125,143,141,141
125,149,147,147
125,681,675,136
125,1200,1189,129
126,871,864,139
126,143,141,141
126,739,733,148
126,139,137,137
126,133,131,131
127,142,141,141
127,142,141,141
127,1106,1096,150
127,139,138,138
127,1394,1373,133
128,140,139,139
128,961,954,142
128,410,407,152
128,138,137,137
128,961,954,136
129,1024,1014,139
129,732,727,144
129,155,153,153
129,139,138,138
129,140,138,138
130,143,141,141
130,391,388,145
130,752,747,154
130,686,680,138
130,736,731,139
131,146,144,144
131,396,392,148
131,1329,1313,156
131,900,893,138
131,142,140,140
132,881,873,145
132,146,145,145
132,156,155,155
132,1379,1354,140
132,397,394,142
133,1027,1018,145
133,393,390,144
133,427,424,157
133,143,142,142
133,143,142,142
134,152,150,150
134,1114,1105,145
134,752,747,156
134,372,368,143
134,144,143,143
135,1193,1179,146
135,398,395,146
135,755,750,158
135,147,146,146
135,1103,1093,144
136,352,349,148
136,401,398,146
136,1341,1324,159
136,387,383,146
136,411,408,146
137,889,882,153
137,741,736,147
137,1112,1102,162
137,387,384,147
137,149,147,147
138,361,358,152
138,152,150,150
138,164,163,163
138,397,393,149
138,417,413,148
139,153,152,152
139,409,406,152
139,969,962,164
139,152,150,150
139,421,417,151
140,679,673,148
140,154,153,153
140,171,169,169
140,154,152,152
140,1102,1093,153
141,151,150,150
141,1115,1105,155
141,767,762,167
141,405,402,150
141,159,157,157
142,1104,1092,149
142,422,418,156
142,1110,1101,165
142,907,900,153
142,157,155,155
143,377,373,151
143,753,748,158
143,172,171,171
143,156,154,154
143,161,159,159
144,156,154,154
144,163,161,161
144,460,457,171
144,158,156,156
144,163,161,161
145,687,682,154
145,430,427,162
145,176,174,174
145,1044,1035,158
145,965,958,163
146,154,153,153
146,1200,1188,165
146,177,175,175
146,1046,1037,159
146,447,444,165
147,390,386,151
147,756,750,165
147,175,174,174
147,162,160,160
147,1250,1236,167
148,395,391,153
148,757,751,166
148,1258,1244,175
148,164,163,163
148,454,451,169
149,157,155,155
149,170,168,168
149,178,177,177
149,426,422,163
149,171,169,169
150,1014,1005,156
150,1288,1272,168
150,1291,1275,174
150,433,430,166
150,173,172,172
151,1012,1003,157
151,760,754,172
151,1334,1306,176
151,1144,1133,167
151,966,959,173
152,159,158,158
152,172,170,170
152,488,485,177
152,170,169,169
152,460,456,174
153,161,160,160
153,454,451,175
153,787,782,179
153,171,170,170
153,761,756,177
154,406,402,158
154,1284,1269,173
154,1104,1095,182
154,731,726,172
154,180,179,179
155,406,403,159
155,974,966,176
155,797,791,185
155,175,174,174
155,179,178,178
156,162,160,160
156,456,452,174
156,795,790,183
156,730,725,172
156,178,177,177
157,165,164,164
157,179,177,177
157,1191,1179,187
157,171,170,170
157,469,465,179
158,1216,1199,162
158,466,462,178
158,525,522,189
158,458,455,171
158,962,954,181
159,693,687,164
159,182,180,180
159,1248,1235,192
159,175,174,174
159,184,182,182
160,163,162,162
160,973,966,181
160,986,979,194
160,1267,1250,174
160,483,479,184
161,1235,1213,162
161,1236,1222,183
161,538,535,196
161,468,464,176
161,484,481,186
162,165,164,164
162,1108,1099,185
162,814,809,198
162,739,734,177
162,963,956,186
163,166,165,165
163,187,186,186
163,1111,1101,200
163,482,478,180
163,498,495,188
164,1141,1127,165
164,1105,1096,187
164,203,202,202
164,1138,1127,181
164,507,503,191
165,1176,1161,168
165,190,189,189
165,990,982,201
165,487,484,181
165,785,779,192
166,699,694,170
166,786,781,191
166,819,813,202
166,1196,1182,183
166,790,784,195
167,435,432,171
167,983,975,192
167,552,548,202
167,924,917,182
167,519,515,197
168,436,432,171
168,195,193,193
168,1185,1173,204
168,927,919,183
168,201,199,199
169,875,867,173
169,787,782,195
169,820,815,205
169,753,748,186
169,201,200,200
170,444,440,175
170,1095,1085,195
170,209,208,208
170,187,185,185
170,524,520,201
171,1077,1065,176
171,975,968,196
171,821,816,208
171,506,502,187
171,794,788,204
172,878,870,177
172,1163,1152,198
172,212,210,210
172,507,504,187
172,530,527,204
173,181,179,179
173,1286,1266,198
173,570,567,211
173,193,191,191
173,210,208,208
174,1219,1197,180
174,793,787,199
174,577,574,213
174,513,509,189
174,1089,1079,206
175,1079,1068,182
175,202,201,201
175,217,215,215
175,195,194,194
175,210,208,208
176,880,873,183
176,203,201,201
176,217,216,216
176,757,752,195
176,1325,1299,210
177,881,874,185
177,985,977,203
177,216,215,215
177,920,913,195
177,1295,1275,210
178,884,876,187
178,522,518,204
178,574,571,217
178,1124,1112,196
178,215,213,213
179,716,711,188
179,984,976,204
179,581,577,218
179,199,198,198
179,977,970,215
180,1224,1195,189
180,805,800,206
180,221,219,219
180,200,198,198
180,568,564,215
181,883,876,189
181,807,801,208
181,1170,1159,220
181,202,201,201
181,217,215,215
182,887,879,191
182,1089,1080,207
182,822,817,222
182,200,198,198
182,978,970,217
183,488,485,192
183,534,531,209
183,580,577,221
183,202,200,200
183,823,817,219
184,883,876,194
184,1257,1239,211
184,223,222,222
184,529,526,200
184,1198,1184,221
185,196,194,194
185,1153,1142,212
185,580,576,223
185,200,199,199
185,1077,1068,222
186,1066,1055,196
186,546,542,212
186,1165,1154,225
186,201,199,199
186,1231,1215,224
187,889,881,197
187,215,214,214
187,228,227,227
187,760,755,200
187,228,226,226
188,196,195,195
188,218,216,216
188,582,578,226
188,1103,1092,201
188,829,824,228
189,886,878,196
189,216,214,214
189,1088,1078,227
189,203,202,202
189,583,579,230
190,727,721,195
190,1256,1237,217
190,972,965,226
190,203,202,202
190,1074,1065,231
191,1139,1124,197
191,552,549,219
191,582,578,227
191,1097,1086,204
191,587,583,234
192,990,980,199
192,556,553,222
192,1204,1190,229
192,762,757,205
192,237,235,235
193,198,196,196
193,816,810,224
193,587,583,232
193,761,756,207
193,1261,1241,237
194,524,521,196
194,228,226,226
194,233,232,232
194,211,210,210
194,1217,1201,237
195,1051,1040,197
195,818,812,228
195,234,233,233
195,211,210,210
195,823,817,239
196,202,200,200
196,985,978,230
196,813,807,233
196,759,754,210
196,591,587,240
197,976,967,199
197,821,816,231
197,586,583,234
197,1014,1004,211
197,592,589,242
198,733,727,199
198,822,817,235
198,587,584,236
198,1015,1005,212
198,593,590,244
199,734,729,201
199,821,816,233
199,240,238,238
199,1177,1161,214
199,1130,1119,244
200,525,522,202
200,575,572,236
200,241,240,240
